Nome Esercizio,Variante,URL YouTube,F/A,Movement Pattern,Bicipiti,Core,Deltoidi Anteriori,Deltoidi Posteriori,Deltoidi Laterali,Femorali,Glutei,Pettorali,Polpacci,Quadricipiti,Trapezi,Tricipiti,Erettori,Adduttori,
Alzate monolaterali panca 30°,"1"" in contrazione di picco; 2"" in contrazione di picco; 3"" in contrazione di picco; cheating; isometria;",https://www.youtube.com/watch?v=Ep0Gm8EHYSU&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=17,A,Spinta verticale,,,,,1,,,,,,,,,,
Alzate laterali chest supported,"1"" in contrazione di picco; 2"" in contrazione di picco; 3"" in contrazione di picco; cheating; isometria;",https://www.youtube.com/watch?v=ojn09mq756A&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=43,A,Spinta verticale,,,,,1,,,,,,,,,,
Alzate laterali deadstop a terra,"1"" in contrazione di picco; 2"" in contrazione di picco; 3"" in contrazione di picco; cheating; isometria;",https://www.youtube.com/watch?v=ysesCFRdcgI&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=44,A,Spinta verticale,,,,,1,,,,,,,,,,
Handstand push up,"discesa 3""; fermo 1"" in basso; 3""/3""; largo;",,A,Spinta verticale,,0.3,1,,0.3,,,,,,,1,,,
Trazioni Presa Prona,"dealoading; facilitate con elastico; loading ; focus dorsale; focus scapolare; fermo 2"" alla fronte salita  3""; salita 3"" alla fonte; discesa 5"";",https://www.youtube.com/watch?v=q5jLgD_5gU4&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=41,A,Tirata verticale,0.5,,,0.3,,,,,,,0.5,,,,1
Trazioni Presa Supina,"dealoading; facilitate con elastico; loading ; focus dorsale; focus scapolare; fermo 2"" alla fronte salita  3""; salita 3"" alla fonte; discesa 5"";",https://www.youtube.com/watch?v=q5jLgD_5gU4&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=42,A,Tirata verticale,0.5,,,,,,,,,,0.5,,,,1
Trazioni Presa Neutra Stretta,"dealoading; facilitate con elastico; loading ; focus dorsale; focus scapolare; fermo 2"" alla fronte salita  3""; salita 3"" alla fonte; discesa 5"";",https://www.youtube.com/watch?v=q5jLgD_5gU4&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=43,A,Tirata verticale,0.5,,,,,,,,,,0.5,,,,1
Trazioni Presa Neutra Larga,"dealoading; facilitate con elastico; loading ; focus dorsale; focus scapolare; fermo 2"" alla fronte salita  3""; salita 3"" alla fonte; discesa 5"";",https://www.youtube.com/watch?v=q5jLgD_5gU4&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=44,A,Tirata verticale,0.5,,,0.3,,,,,,,0.5,,,,1
Trazioni Anelli,"dealoading; facilitate con elastico; loading ; focus dorsale; focus scapolare; fermo 2"" alla fronte salita  3""; salita 3"" alla fonte; discesa 5"";",,A,Tirata verticale,0.5,,,,,,,,,,0.5,,,,1
Lat machine Supina,"fermo 1"" in basso; fermo 2"" in basso; risalita 3""; discesa 3""; focus dorso; focus scapola;",https://www.youtube.com/watch?v=B_n5uMLxDk0&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=11,A,Tirata verticale,0.5,,,,,,,,,,0.5,,,,1
Lat Machine Prona,"fermo 1"" in basso; fermo 2"" in basso; risalita 3""; discesa 3""; focus dorso; focus scapola;",https://www.youtube.com/watch?v=dQYWf_16Yuk&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=4,A,Tirata verticale,0.5,,,0.3,,,,,,,0.5,,,,1
Lat Machine triangolo stretto,"fermo 1"" in basso; fermo 2"" in basso; risalita 3""; discesa 3""; focus dorso; focus scapola;",https://www.youtube.com/watch?v=55sIABvQuy8&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=3,A,Tirata verticale,0.5,,,,,,,,,,0.5,,,,1
Lat Machine Triangolo largo,"fermo 1"" in basso; fermo 2"" in basso; risalita 3""; discesa 3""; focus dorso; focus scapola;",https://www.youtube.com/watch?v=dQYWf_16Yuk&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=4,A,Tirata verticale,0.5,,,0.3,,,,,,,0.5,,,,1
Lat Machine monolaterale in ginocchio,"fermo 1"" in basso; fermo 2"" in basso; risalita 3""; discesa 3""; focus dorso; focus scapola;",https://www.youtube.com/watch?v=uIHw2OGVN5w&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=12,A,Tirata verticale,0.5,,,,,,,,,,0.5,,,,1
Pulldown corda,"eccentrica 3""; 2"" in max stretch",,A,Tirata verticale,,,,,,,,,,,0.5,,,,1
Pulldown barra,"eccentrica 3""; 2"" in max stretch",,A,Tirata verticale,,,,,,,,,,,0.5,,,,1
Pulley Triangolo,"fermo 1"" dietro; fermo 3"" dietro; eccentrica 3""; focus dorso; ",https://www.youtube.com/watch?v=DFZ5iuxFBsU&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=26,A,Tirata orizzontale,0.5,,,0.3,,,,,,,0.5,,,,1
Pulley Presa larga e neutra,"fermo 1"" dietro; fermo 3"" dietro; eccentrica 3""; prono su panca 30°;",https://www.youtube.com/watch?v=YQB1KxnbR-E&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=27,A,Tirata orizzontale,0.5,,,0.5,,,,,,,1,,,,0.5
Pulley presa supina larga,"fermo 1"" dietro; fermo 3"" dietro; eccentrica 3""; prono su panca 30°;",https://www.youtube.com/watch?v=YQB1KxnbR-E&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=27,A,Tirata orizzontale,0.5,,,0.5,,,,,,,1,,,,0.5
Pulley presa prona larga,"fermo 1"" dietro; fermo 3"" dietro; eccentrica 3""; prono su panca 30°;",,A,Tirata orizzontale,0.5,,,0.5,,,,,,,1,,,,0.5
